fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,quality
7,0.27,0.36,20.7,0.045,45,6
6.3,0.3,0.34,1.6,0.049,14,6
8.1,0.28,0.4,6.9,0.05,30,6
7.2,0.23,0.32,8.5,0.058,47,6
7.2,0.23,0.32,8.5,0.058,47,6
8.1,0.28,0.4,6.9,0.05,30,6
6.2,0.32,0.16,7,0.045,30,6
7,0.27,0.36,20.7,0.045,45,6
6.3,0.3,0.34,1.6,0.049,14,6
8.1,0.22,0.43,1.5,0.044,28,6
8.1,0.27,0.41,1.45,0.033,11,5
8.6,0.23,0.4,4.2,0.035,17,5
7.9,0.18,0.37,1.2,0.04,16,5
6.6,0.16,0.4,1.5,0.044,48,7
8.3,0.42,0.62,19.25,0.04,41,5
6.6,0.17,0.38,1.5,0.032,28,7
6.3,0.48,0.04,1.1,0.046,30,6
6.2,0.66,0.48,1.2,0.029,29,8
7.4,0.34,0.42,1.1,0.033,17,6
6.5,0.31,0.14,7.5,0.044,34,5
6.2,0.66,0.48,1.2,0.029,29,8
6.4,0.31,0.38,2.9,0.038,19,7
6.8,0.26,0.42,1.7,0.049,41,8
7.6,0.67,0.14,1.5,0.074,25,5
6.6,0.27,0.41,1.3,0.052,16,6
7,0.25,0.32,9,0.046,56,6
6.9,0.24,0.35,1,0.052,35,6
7,0.28,0.39,8.7,0.051,32,6
7.4,0.27,0.48,1.1,0.047,17,6
7.2,0.32,0.36,2,0.033,37,7
8.5,0.24,0.39,10.4,0.044,20,6
8.3,0.14,0.34,1.1,0.042,7,6
7.4,0.25,0.36,2.05,0.05,31,6
6.2,0.12,0.34,1.5,0.045,43,6
5.8,0.27,0.2,14.95,0.044,22,5
7.3,0.28,0.43,1.7,0.08,21,5
6.5,0.39,0.23,5.4,0.051,25,5
7,0.33,0.32,1.2,0.053,38,6
7.3,0.24,0.39,17.95,0.057,45,5
7.3,0.24,0.39,17.95,0.057,45,5
6.7,0.23,0.39,2.5,0.172,63,6
6.7,0.24,0.39,2.9,0.173,63,6
7,0.31,0.26,7.4,0.069,28,6
6.6,0.24,0.27,1.4,0.057,33,6
6.7,0.23,0.26,1.4,0.06,33,6
7.4,0.18,0.31,1.4,0.058,38,7
6.2,0.45,0.26,4.4,0.063,63,4
6.2,0.46,0.25,4.4,0.066,62,5
7,0.31,0.26,7.4,0.069,28,6
6.9,0.19,0.35,5,0.067,32,5
